,Open,High,Low,Close,Adj Close,Volume,Date,Stock
0,12.79,12.95,12.69,12.73,9.91254,492200.0,2017-07-10T00:00:00,AHH
1,12.71,12.89,12.69,12.84,9.998197,509700.0,2017-07-11T00:00:00,AHH
2,12.98,13.2,12.96,13.03,10.146143,384300.0,2017-07-12T00:00:00,AHH
3,13.01,13.01,12.85,12.94,10.076063,311100.0,2017-07-13T00:00:00,AHH
4,12.97,13.12,12.95,13.09,10.192864,307900.0,2017-07-14T00:00:00,AHH
5,13.08,13.2,13.01,13.17,10.255159,288000.0,2017-07-17T00:00:00,AHH
6,13.19,13.32,13.09,13.21,10.286306,388000.0,2017-07-18T00:00:00,AHH
7,13.24,13.3,13.15,13.21,10.286306,299000.0,2017-07-19T00:00:00,AHH
8,13.25,13.43,13.24,13.39,10.426469,431200.0,2017-07-20T00:00:00,AHH
9,13.44,13.44,13.15,13.17,10.255159,202100.0,2017-07-21T00:00:00,AHH
10,13.17,13.35,13.1,13.16,10.247372,219600.0,2017-07-24T00:00:00,AHH
11,13.2,13.29,13.15,13.18,10.262945,274900.0,2017-07-25T00:00:00,AHH
12,13.18,13.35,13.15,13.3,10.356386,288900.0,2017-07-26T00:00:00,AHH
13,13.29,13.43,13.16,13.39,10.426469,247800.0,2017-07-27T00:00:00,AHH
14,13.35,13.42,13.23,13.37,10.410894,291400.0,2017-07-28T00:00:00,AHH
15,13.39,13.39,13.22,13.26,10.32524,468800.0,2017-07-31T00:00:00,AHH
16,13.2,13.51,13.2,13.42,10.449828,269100.0,2017-08-01T00:00:00,AHH
17,13.39,13.4,13.14,13.2,10.278519,228300.0,2017-08-02T00:00:00,AHH
18,13.21,13.49,13.11,13.46,10.480975,408300.0,2017-08-03T00:00:00,AHH
19,13.43,13.55,13.43,13.51,10.519908,284500.0,2017-08-04T00:00:00,AHH
20,13.5,13.51,13.38,13.42,10.449828,138500.0,2017-08-07T00:00:00,AHH
21,13.39,13.45,13.28,13.34,10.387533,195600.0,2017-08-08T00:00:00,AHH
22,13.33,13.35,13.18,13.32,10.371959,210100.0,2017-08-09T00:00:00,AHH
23,13.28,13.37,13.16,13.18,10.262945,224000.0,2017-08-10T00:00:00,AHH
24,13.0,13.11,12.95,13.0,10.122784,275000.0,2017-08-11T00:00:00,AHH
25,13.03,13.48,12.97,13.43,10.457617,418100.0,2017-08-14T00:00:00,AHH
26,13.38,13.38,13.16,13.17,10.255159,225200.0,2017-08-15T00:00:00,AHH
27,13.16,13.32,13.13,13.17,10.255159,325500.0,2017-08-16T00:00:00,AHH
28,13.15,13.39,13.15,13.19,10.270732,299700.0,2017-08-17T00:00:00,AHH
29,13.1,13.14,12.97,13.04,10.153931,1097700.0,2017-08-18T00:00:00,AHH
30,13.04,13.24,13.0,13.24,10.309665,158800.0,2017-08-21T00:00:00,AHH
31,13.25,13.29,13.16,13.26,10.32524,176600.0,2017-08-22T00:00:00,AHH
32,13.24,13.42,13.23,13.39,10.426469,151400.0,2017-08-23T00:00:00,AHH
33,13.4,13.5,13.31,13.32,10.371959,300200.0,2017-08-24T00:00:00,AHH
34,13.39,13.47,13.22,13.4,10.434255,335100.0,2017-08-25T00:00:00,AHH
35,13.4,13.47,13.2,13.22,10.29409,275300.0,2017-08-28T00:00:00,AHH
36,13.25,13.33,13.19,13.25,10.317452,213600.0,2017-08-29T00:00:00,AHH
37,13.21,13.38,13.16,13.36,10.403107,316200.0,2017-08-30T00:00:00,AHH
38,13.38,13.57,13.37,13.37,10.410894,339400.0,2017-08-31T00:00:00,AHH
39,13.41,13.53,13.32,13.51,10.519908,207600.0,2017-09-01T00:00:00,AHH
40,13.49,13.58,13.21,13.27,10.333026,266200.0,2017-09-05T00:00:00,AHH
41,13.43,13.64,13.37,13.61,10.597775,454900.0,2017-09-06T00:00:00,AHH
42,13.62,13.64,13.51,13.57,10.566629,233600.0,2017-09-07T00:00:00,AHH
43,13.51,13.64,13.45,13.56,10.558843,217500.0,2017-09-08T00:00:00,AHH
44,13.6,13.64,13.56,13.61,10.597775,154700.0,2017-09-11T00:00:00,AHH
45,13.6,13.62,13.39,13.46,10.480975,191000.0,2017-09-12T00:00:00,AHH
46,13.45,13.57,13.45,13.56,10.558843,163500.0,2017-09-13T00:00:00,AHH
47,13.54,13.62,13.46,13.6,10.589989,210200.0,2017-09-14T00:00:00,AHH
48,13.63,13.63,13.43,13.61,10.597775,437100.0,2017-09-15T00:00:00,AHH
